Symbol,Issue_Name,Primary_Listing_Mkt
ABBB,"Auburn Bancorp, Inc. Common Stock",U
ABBRF,ABRASILVER RESOURCE CORP Ordinary Shares,U
ABBV,ABBVIE INC.,NYSE
ABBY,"Abby, Inc  Common Stock",U
ABC,AmerisourceBergen Corp.,NYSE
ABCAF,Athabasca Minerals Inc Common Shares (Canada),U
ABCB,Ameris Bancorp Common Stock,NASDAQ
ABCE,"ABCO Energy, Inc Common Stock",U
ABCFF,Abacus Mining & Exploration Corporation Common Shares,U
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ
ABCM,Abcam plc American Depositary Shares,NASDAQ
ABCP,AmBase Corporation Common Stock,U
ABCZF,Abcam PLC Ordinary Shares (United Kingdom),U
ABDBY,ALM BRAND A/S ADR (Denmark),U
ABDDF,Ab Dynamics PLC Ordinary Shares (United Kingdom),U
ABDR,Ambassador Food Services Corporation New Common Stock,U
ABDXF,Abingdon Health Ltd. Ordinary Shares (United Kingdom),U
ABENU,Advanced Bioenergy LLC Membership Unit,U
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ
ABEPF,Vision Lithium Inc Ordinary Shares,U
ABEQ,Absolute Core Strategy ETF,ARCA
ABETF,Supernova Metals Corp Common Shares,U
ABEV,AMBEV S.A.,NYSE
ABEYF,Abbey Plc Ordinary Shares (Ireland),U
ABFOF,Abertis Infraestructuras SA Ordinary Shares (Spain),U
ABFRF,Aberforth Smaller Companies Trust PLC Ordinary Shares (United Kingdom),U
ABFXF,ABF Pan Asia Bond Index Fund Units (Singapore),U
ABG,"Asbury Automotive Group, Inc.",NYSE
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,NASDAQ
ABGOF,Abengoa Sa Ordinary Shares (Spain),U
ABGOY,Abengoa Sa Unsponsored ADR (Spain),U
ABGSF,ABG Sundal Collier ASA Ordinary Shares (Norway),U
ABHBY,Alfen Beheer B.V. ADR (Netherlands),U
ABILF,Ability Inc.  Ordinary Shares,U
ABIO,"ARCA biopharma, Inc. Common Stock",NASDAQ
ABIT,ATHENA BITCOIN GLOBAL Common Stock,U
ABKB,"American Basketball Association, Inc. Common Stock",U
ABLE,"Able Energy, Inc. Common Stock",U
ABLGF,Alten Boulogne-Billancourt Ordinary Shares (France),U
ABLT,American Biltrite Inc. Common Stock,U
ABLZF,Abb Ltd Reg Ordinary Shares,U
ABM,"ABM Industries, Inc.",NYSE
ABMAF,Albioma Ordinary Shares (France),U
ABMBF,Abcourt Mines Inc Cl-B (F) Ordinary Shares,U
ABMC,American Bio Medica Corp. Common Stock,U
ABMD,"ABIOMED, Inc. Common Stock",NASDAQ
ABML,American Battery Metals Corporation Common Stock,U
ABMRF,ABN Amro BK NV Depositary Receipts (Netherlands),U
ABMT,"Advanced BioMedical Technologies, Inc. Common Stock",U
ABNAF,"Aben Resources, Ltd. Ordinary Shares",U
ABNB,"Airbnb, Inc. Class A Common Stock",NASDAQ
ABNC,"American Bancorp, Inc. (LA) Common Stock",U
ABOIF,Aboitiz Equity Ventures Inc Ordinary Shares (Philippines),U
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",NASDAQ
ABPGF,ALIBABA PICTURES GROUP Ltd SHS (Bermuda),U
ABPPF,Abacus Property Group Fully Paid Ord Units Stapled Securities (Australia),U
ABPR,"Airborne Security & Protective Services, Inc. New Common Stock",U
ABQQ,AB INTL GROUP CORP Common Stock,U
ABR,"Arbor Realty Trust, Inc.",NYSE
ABR PRD,"Arbor Realty Trust, Inc. 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preferen",NYSE
ABRUF,AMERICAN PAC BURATE & LITHIUM LTD Ord Shs Fully Paid (Australia),U
ABSCF,"AB Science, Paris Ordinary Shares (France)",U
ABSOF,ABS-CBN  Holdings Corporation Phillipine Depositary Receipts Representing 1 Share (Phillipines),U
ABSSF,Airboss Of America Corp New Ordinary Shares,U
ABST,Absolute Software Corporation Common Stock,NASDAQ
ABT,Abbott Laboratories,NYSE
ABTI,"Alterola Biotech, Inc. Common Stock",U
ABTO,AB&T Financial Corporation (NC) Common Stock,U
ABTX,"Allegiance Bancshares, Inc. Common Stock",NASDAQ
ABTZY,Aboitiz Equity Ventures Inc. Unsponsored ADR (Phillipines),U
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ
ABVC,"ABVC BioPharma, Inc. Common Stock",U
ABVG,"Affinity Beverage Group, Inc. Common Stock",U
ABVN,ABV CONSULTING INC Common Stock,U
ABWN,Airborne Wireless Network Common Stock,U
ABXXF,ABAXX Technologies Inc. Common Shares (Canada),U
ABYB,Amboy Bancorporation Common Stock,U
ABZPF,Aboitiz Power Corp. Ordinary Shares (Phillippines),U
ABZPY,Aboitiz Power Corp. Unsponsored ADR (Phillipines),U
ABZT,"Ablaze Technologies, Inc. Common Stock",U
ABZUF,"Abzu Gold, Ltd. Ordinary Shares (Canada)",U
AC,"Associated Capital Group, Inc.",NYSE
ACA,"Arcosa, Inc. Common Stock",NYSE
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,NASDAQ
ACAHU,Atlantic Coastal Acquisition Corp. Unit,NASDAQ
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,NASDAQ
ACAI,Safeplus International Holdings Limited Common Stock,U
ACAN,"Americann, Inc. Common Stock",U
ACAVF,ACE Aviation Holdings Inc Common Shares (Canada),U
ACAZF,Acadian Timber Corporation Ordinary Shares (Canada),U
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,NASDAQ
ACBAU,Ace Global Business Acquisition Limited Unit,NASDAQ
ACBAW,Ace Global Business Acquisition Limited Warrant,NASDAQ
ACBCQ,Albina Community Bancorp (OR) Common Stock,U
ACBD,Annabidiol Corp. Common Stock,U
ACBI,"Atlantic Capital Bancshares, Inc. Common Stock",NASDAQ
ACBM,"Acro Biomedical Co., Ltd. Common Stock",U
ACC,"American Campus Communities, Inc.",NYSE
ACCA,"Acacia Diversified Holdings, Inc. Common Stock",U
ACCD,"Accolade, Inc. Common Stock",NASDAQ
ACCEF,ACCRETE INC Common Stock,U
ACCFF,Accord Financial Corp Ordinary Shares (Canada),U
ACCMF,AAC CLYDE SPACE Common Stock,U
ACCO,Acco Brands Corporation,NYSE
ACCR,"Access-Power & Co, Inc. Common Stock",U
ACCYY,Accor S A American Depositary Receipts - Sponsored (France),U
ACDSF,Ascendas Real Estate Investment Trust Units,U
ACDVF,Air Canada Inc Vtg & Var Vtg Shares (Canada),U
ACEEU,Ace Ethanol LLC Unit,U
ACEHF,Ace Hardware Indonesia Tbk Ordinary Shares (Indonesia),U
ACEJF,ACEA S.P.A. SHS (Italy),U
ACEL,"Accel Entertainment, Inc.",NYSE
ACENY,ASCENTIAL PLC American Depositary Receipts - Unsponsored,U
ACER,Acer Therapeutics Inc. Common Stock (DE),NASDAQ
ACES,ALPS Clean Energy ETF,ARCA
ACET,"Adicet Bio, Inc. Common Stock",NASDAQ
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,NASDAQ
ACEVU,ACE Convergence Acquisition Corp. Unit,NASDAQ
ACEVW,ACE Convergence Acquisition Corp. Warrant,NASDAQ
ACEYY,"Acer, Inc. (New) Sponsored Global Depository Receipt Reg S (Taiwan)",U
ACFFF,Accordia Golf Tr Unit (Singapore),U
ACFL,"AMC Financial Holdings, Inc. Common Stock",U
ACFN,"Acorn Energy, Inc.",U
ACGBF,Agricultural Bank of China Ordinary Shares  SHS H  (China),U
ACGBY,Agricultural Bank of China Unsponsored American Depository Receipt (China),U
ACGI,"Amacore Group, Inc. (The) Class A Common Stock",U
ACGJ,ACI Global Corporation Common Stock,U
ACGL,Arch Capital Group Ltd. Common Stock,NASDAQ
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,NASDAQ
ACGPF,Accell Group NV Heerenveen Ordinary Shares (Netherlands),U
ACGX,"Alliance Creative Group, Inc. Common Stock",U
ACGYF,Subsea 7 SA Ordinary Shares (Luxembourg),U
ACH,Alum Corp of China Limited,NYSE
ACHC,"Acadia Healthcare Company, Inc. Common Stock",NASDAQ
ACHFF,ARch Biopartners Inc. Ordinary Shares (Canada),U
ACHKF,ACHIKO AG NAMEN AKT Ordinary Shares,U
ACHL,Achilles Therapeutics plc American Depositary Shares,NASDAQ
ACHN,Achison Inc. Common Class A,U
ACHV,"Achieve Life Sciences, Inc. Common Shares",NASDAQ
ACI,"Albertsons Companies, Inc.",NYSE
ACIBF,ACCION IBEX 35 ETF FI Unit,U
ACIC,Atlas Crest Investment Corp.,NYSE
ACIC U,"Atlas Crest Investment Corp. Units, each consisting of one Class A common stock, and one-third of on",NYSE
ACIC WS,"Atlas Crest Investment Corp.Redeemable warrants included as part of the units, each whole warrant ex",NYSE
ACII,Atlas Crest Investment Corp. II,NYSE
ACII U,"Atlas Crest Investment Corp. II Units, each consisting of one Class A common stock, $.0001 par value",NYSE
ACII WS,"Atlas Crest Investment Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A",NYSE
ACIO,Aptus Collared Income Opportunity ETF,BATS
ACIRF,AIMS APAC REIT REIT,U
ACITF,Asian Citrus Holdings Ltd Ordinary Shares (Bermuda),U
ACIU,AC Immune SA Common Stock,NASDAQ
ACIW,"ACI Worldwide, Inc. Common Stock",NASDAQ
ACJJF,Acom Co Ltd Ordinary Shares (Japan),U
ACKAY,Arcelik A S Unsponsored ADR (Turkey),U
ACKDF,Auckland International Airport Ltd Ordinary Shares (New Zealand),U
ACKIT,Ackrell SPAC Partners I Co. Subunits,NASDAQ
ACKIU,Ackrell SPAC Partners I Co. Units,NASDAQ
ACKIW,Ackrell SPAC Partners I Co. Warrants,NASDAQ
ACKRF,American Creek Resources Ltd New Common Shares,U
ACLD,Acquire Ltd Common Stock,U
ACLHF,ACME LITHIUM INC Common Stock,U
ACLLF,Atco Ltd  Cl I Nv Cda Ordinary Shares,U
ACLS,"Axcelis Technologies, Inc. Common Stock",NASDAQ
ACLTF,Atco Ltd Cl Ii Vtg Cda Ordinary Shares,U
ACM,Aecom,NYSE
ACMB,Agro Capital Management Corp Common Stock,U
ACMC,American Church Mortgage Co Common Stock,U
ACMDY,Atlas Consolidated Mining & Development Corp American Depositary Share (Unsponsored) (Phillippines),U
ACMLF,Ascom Holdings A G Bearer Shs Ordinary Shares (Switzerland),U
ACMMY,ACOM CO LTD ADR (Japan),U
ACMR,"ACM Research, Inc. Class A Common Stock",NASDAQ
ACMT,ACMAT Corporation Common Stock,U
ACMTA,ACMAT Corporation Class A Common Stock,U
ACN,Accenture PLC,NYSE
ACNB,ACNB Corporation Common Stock,NASDAQ
ACND,Ascendant Digital Acquisition Corp.,NYSE
ACND U,"Ascendant Digital Acquisition Corp. Units, each consisting of one Class A ordinary share and one-hal",NYSE
ACND WS,"Ascendant Digital Acquisition Corp. Warrants, each whole warrant exercisable for one Class A ordinar",NYSE
ACNDF,Ascendas India Trust Units (Singapore),U
ACNE,Alice Cons Mines Inc Common Stock,U
ACNFF,Amsterdam Commodities NV Ordinary Shares (Netherlands),U
ACNI,American Community Newspapers Inc Common Stock,U
ACNNF,Auscann Group Hldgs Ltd Ordinary Shares (Australia),U
ACNV,"Accelera Innovations, Inc Common Stock",U
ACOGF,ALPHA COGNITION INC NEW COM (Canada),U
ACOPF,A2 Milk Co Ltd. Shs (New Zealand),U
ACOPY,The A2 Milk Co Ltd Unsponsored ADR (New Zealand),U
ACOR,"Acorda Therapeutics, Inc. Common Stock",NASDAQ
ACOSF,Archos ACT.NOM,U
ACP,Aberdeen Income Credit Strategies Fund,NYSE
ACP PRA,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE
ACPGF,ACACIA PHARMA GROUP PLC ORD GBP0.02 (United Kingdom),U
ACPIF,AC ENERGY CORP Common Stock,U
ACPRF,ARCPACIFIC RES CORP Common Shares (Canada),U
ACPS,AC Partners Inc. Common Stock,U
ACQR,Independence Holdings Corp. Class A Ordinary Share,NASDAQ
ACQRU,Independence Holdings Corp. Units,NASDAQ
ACQRW,Independence Holdings Corp. Warrant,NASDAQ
ACR,ACRES Commercial Realty Corp.,NYSE
ACR PRC,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stoc,NYSE
ACR PRD,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE
ACRB,"Asia Carbon Industries, Inc. Common",U
ACRDF,"Acreage Holdings, Inc. Class D Sub Vtg Ord Shs (Canada)",U
ACRE,Ares Commercial Real Estate Corporation,NYSE
ACRFF,Accor S A (F) Ordinary Shares,U
ACRHF,"Acreage Holdings, Inc. Class E Sub Vtg Ord Shs (Canada)",U
ACRL,"Atacama Resources International, Inc. Common Stock",U
ACRS,"Aclaris Therapeutics, Inc. Common Stock",NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc. Common Stock",NASDAQ
ACSAF,Acs Actividades de Construccion y Servicios SA Ordinary Shares (Spain),U
ACSAY,ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain),U
ACSBL,Access Bk Nigeria Plc Sponsored GDR Reg S (Nigeria),U
ACSEF,ACS Motion Control Ltd. Common Stock,U
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,ARCA
ACSI,American Customer Satisfaction ETF,BATS
ACST,"Acasti Pharma, Inc. Class A Common Stock",NASDAQ
ACSYF,Accsys Technologies plc Ordinary Shares (United Kingdom),U
ACT,"Enact Holdings, Inc. Common Stock",NASDAQ
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,NASDAQ
ACTDU,ArcLight Clean Transition Corp. II Unit,NASDAQ
ACTDW,ArcLight Clean Transition Corp. II Warrant,NASDAQ
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,NASDAQ
ACTHF,ADURO CLEAN TECHNOLOGIES INC Common Shares,U
ACTL,"Artec Global Media, Inc. Common Stock",U
ACTV,LeaderShares Activist Leaders ETF,ARCA
ACTX,"Advanced Container Technologies, Inc. Common Stock",U
ACU,Acme United Corporation,AMEX
ACUCF,ACUCORT AB Ordinary Shares,U
ACUR,ACURA PHARMACEUTICALS INC Common Stock,U
ACUS,"Acusphere, Inc. (NEW) Common Stock",U
ACV,Virtus AllianzGI Diversified Income & Convertible Fund,NYSE
ACVA,ACV Auctions Inc. Class A Common Stock,NASDAQ
ACVF,American Conservative Values ETF,ARCA
ACWEF,SSGA SPDR ETFS EUROPE I PLC ACCUM SHS EXCHANGE TRADED FUND USD (Ireland),U
ACWF,iShares MSCI Global Multifactor ETF,ARCA
ACWI,iShares MSCI ACWI ETF,NASDAQ
ACWRF,Acceleware Ltd.  Common Shares (Canada),U
ACWV,iShares MSCI Global Min Vol Factor ETF,BATS
ACWX,iShares MSCI ACWI ex US ETF,NASDAQ
ACXIF,Acciona Sa Ordinary Shares,U
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",NASDAQ
ACY,AeroCentury Corporation,AMEX
ADAD,"Huaizhong Health Group, Inc. Common Stock",U
ADAG,Adagene Inc. American Depositary Shares,NASDAQ
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,NASDAQ
ADBCF,ADBRI Limited Ordinary Shares,U
ADBE,Adobe Inc. Common Stock,NASDAQ
ADBGF,ADORE BEAUTY GROUP LTD Ordinary Shares,U
ADBKF,ADDIKO BK AG Common Shares  Austria(AT ),U
ADBN,"Americana Distribution, Inc. Common Stock",U
ADBRF,ALDEBARAN RES INC Ordinary Shares (Canada),U
ADC,Agree Realty Corporation,NYSE
ADCOF,Adcore Inc Common Shares (Canada),U
ADCT,ADC Therapeutics SA,NYSE
ADCUF,ADS CRUDE CARRIERS PLC Ordinary Shares  Cyprus(CY ),U
ADCV,AD Capital U.S. Inc. New Common Stock,U
ADDC,Addmaster Corp Common Stock,U
ADDDF,adidas AG Ordinary Shares (Germany),U
ADDHY,Addtech AB American Depositary Receipts - Unsponsored (Sweden),U
ADDLF,ADDLIFE AB-B Ordinary Shares,U
ADDLY,ADDLIFE AB Unsponsored ADR (Sweden),U
ADDXF,Addex Pharmaceuticals Ltd. Ordinary Shares (Switzerland),U
ADDYY,adidas AG Sponsored ADR (Germany),U
ADEC,Alternative Energy Development Corporation Common Stock,U
ADER,26 Capital Acquisition Corp. Class A Common Stock,NASDAQ
ADERU,26 Capital Acquisition Corp. Unit,NASDAQ
ADERW,26 Capital Acquisition Corp. Warrant,NASDAQ
ADERY,Aida Engineering Ltd ADR,U
ADES,"Advanced Emissions Solutions, Inc. Common Stock",NASDAQ
ADEVF,ADEVINTA ASA Ordinary Shares (Norway),U
ADEX,Adit EdTech Acquisition Corp,NYSE
ADEX U,"Adit EdTech Acquisition Corp Units, each consisting of one share of common stock, and one-half of on",NYSE
ADEX WS,"Adit EdTech Acquisition Corp Redeemable Warrants, each whole warrant exercisable for shares of commo",NYSE
ADF,Aldel Financial Inc.,NYSE
ADF U,"Aldel Financial Inc. Units, each consisting of one share of Class A common stock and one-half of one",NYSE
ADF WS,"Aldel Financial Inc. Warrants, each whole warrant entitles the holder thereof to purchase one share",NYSE
ADFI,Anfield Dynamic Fixed Income ETF,BATS
ADFJF,ADF Group Inc Sub Vtg Shs (Canada),U
ADFS,"American Defense Systems, Inc Common Stock",U
ADFT,"Adfitech, Inc. Common Stock",U
ADGCF,ADVANCE GOLD CORP Common Shares,U
ADGL,"AllDigital Holdings, Inc. Common Stock",U
ADGO,Advantego Corporation Common Stock,U
ADHC,American Diversified Holdings Corporation Common Stock,U
ADHG,Ando Holdings Ltd. Common Stock,U
ADHLF,Applied Development Holdings Limited Ordinary Shares (Bermuda),U
ADI,"Analog Devices, Inc. Common Stock",NASDAQ
ADIA,"Adia Nutrition, Inc. Common Stock",U
ADIL,"Adial Pharmaceuticals, Inc Common Stock",NASDAQ
ADILW,"Adial Pharmaceuticals, Inc Warrant",NASDAQ
ADIV,SmartETFs Asia Pacific Dividend Builder ETF,ARCA
ADIWW,Adial Pharmaceuticals Inc Wt Pur Com Exp 02/28/2024,U
ADKCF,Adeka Corp Ordinary Shares (Japan),U
ADKIL,Adkins Energy LLC Unit Membership Int,U
ADKT,Adirondack Tr Co Common Stock,U
ADLDY,ADBRI Limited American Depositary Receipts - Unsponsored,U
ADLI,American Medical Technologies Inc. Common Stock,U
ADM,Archer Daniels Midland Company,NYSE
ADMA,ADMA Biologics Inc Common Stock,NASDAQ
ADME,Aptus Behavioral Momentum ETF,BATS
ADMG,Adamant DRI Processing and Minerals Group Common Stock,U
ADMLF,Adriatic Metals PLC CHESS Depositary Interests 1:1,U
ADMP,Adamis Pharmaceuticals Corporation Common Stock,NASDAQ
ADMQ,ADM Endeavors Inc Common Shares,U
ADMS,"Adamas Pharmaceuticals, Inc. Common Stock",NASDAQ
ADMT,"ADM Tronics Unlimited, Inc. Common Stock",U
ADMV,ADAMAS VENTURES INC Common Stock,U
ADN,"Advent Technologies Holdings, Inc. Class A Common Stock",NASDAQ
ADNT,Adient plc Ordinary Shares,NYSE
ADNWW,"Advent Technologies Holdings, Inc. Warrant",NASDAQ
ADNY,Adino Energy Corporation Common Stock,U
ADOB,Adorbs Inc Common Stock,U
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,NASDAQ
ADOCR,Edoc Acquisition Corp. Right,NASDAQ
ADOCW,Edoc Acquisition Corp. Warrant,NASDAQ
ADOCY,Adocia Sponsored ADR,U
ADOIF,Adocia Ordinary Shares,U
ADOM,"ADOMANI, Inc. Common Stock",U
ADONF,ANTEOTECH LTD SHS (Australia),U
ADOOY,Adaro Energy PT Unsponsored ADR (Indonesia),U
ADP,"Automatic Data Processing, Inc. Common Stock",NASDAQ
ADPPF,ADLER GROUP S A Ordinary Shares,U
ADPT,Adaptive Biotechnologies Corporation Common Stock,NASDAQ
ADPXF,Audio Pixels Holdings Ltd Ordinary Shares (Australia),U
ADPXY,Audio Pixels Holdings Ltd Sponsored ADR (Australia),U
ADRA,Adara Acquisition Corp.,AMEX
ADRA U,"Adara Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-half of",AMEX
ADRA WS,"Adara Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one share of Class A",AMEX
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ
ADRLF,ADAVALE RESOURCES LTD Ordinary Shares,U
ADRNY,Koninklijke Ahold Delhaize N.V. American Depositary Receipts - Sponsored,U
ADRZF,Andritz Ag Graz Ordinary Shares,U
ADRZY,Andritz Ag Graz Unsponsored ADR (Austria),U
ADS,Alliance Data Systems Corporation,NYSE
ADSGF,ADESSO AG AFTER CAP REDUCTION Ordinary Shares,U
ADSK,"Autodesk, Inc. Common Stock",NASDAQ
ADST,"AdStar, Inc. Common Stock",U
ADSV,"Allied Security Innovations, Inc. NEW Common Stock",U
ADT,ADT Inc.,NYSE
ADTC,"Advanced Deposition Technologies, Inc. Common Stock",U
ADTEF,Advantech Co Ltd Ordinary Shares (Taiwan),U
ADTFF,Imetal Res Inc Ordinary Shares,U
ADTLF,Adriatic Metals PLC Ordinary Shares (United Kingdom),U
ADTM,"Adaptive Medias, Inc. Common Stock",U
ADTN,"ADTRAN, Inc. Common Stock",NASDAQ
ADTR,Alliance Media Holdings Inc. Common Stock,U
ADTTF,Advantest Corp Ordinary Shares,U
ADTX,"ADiTx Therapeutics, Inc. Common Stock",NASDAQ
ADTY,Adtegrity.Com International Inc Common Stock,U
ADUS,Addus HomeCare Corporation Common Stock,NASDAQ
ADV,Advantage Solutions Inc. Class A Common Stock,NASDAQ
ADVC,Advant-e Corporation Common Stock,U
ADVM,"Adverum Biotechnologies, Inc. Common Stock",NASDAQ
ADVNF,ADVANCED NANO TECHNOLOGIES LTD Ordinary Shares,U
ADVOF,Adva Optical Networking SE Ordinary Shares (Germany),U
ADVT,Advantis Corporation Common Stock,U
ADVV,Adveco Group Inc Common Stock,U
ADVWW,Advantage Solutions Inc. Warrant,NASDAQ
ADVYF,ADVERTY AB SHARE AK (Sweden),U
ADVZF,Adventus Mng Corp Common Shares,U
ADWPF,Andrew Peller Ltd Class A Ordinary Shares (Canada),U
ADX,"Adams Diversified Equity Fund, Inc",NYSE
ADXDF,Adex Mining Corp Ordinary Shares,U
ADXN,Addex Therapeutics Ltd American Depositary Shares,NASDAQ
ADXRF,ADX Energy Ltd Ordinary Shares (Australia),U
ADXS,"Advaxis, Inc. Common Stock",NASDAQ
